modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
xgb,xgb_E1,2024-09,48,9,10.329181127448877,13.214336853461468,-0.2987602186578502
xgb,xgb_E3,2024-09,6,9,5.785962339330603,8.15448116370678,0.5822127393229464
xgb,xgb_E3,2024-09,12,9,6.738969196390222,9.432489520270389,0.4380278259783166
xgb,xgb_E3,2024-09,24,9,8.619802563543672,11.639988266959802,0.09961101840110431
xgb,xgb_E3,2024-09,48,9,10.821075896576598,13.804320127158132,-0.4173211733681377
c2,c2_zs_U_C512,2024-09,6,9,5.861761413856788,8.043189205672212,0.59353879951544
c2,c2_zs_U_C512,2024-09,12,9,5.630610078882289,7.685289287333729,0.6269366473831044
c2,c2_zs_U_C512,2024-09,24,9,7.521256789631313,10.054287140269194,0.32821909546613015
c2,c2_zs_U_C512,2024-09,48,9,8.428091110300135,11.017323207108015,0.09720236829260498
c2,c2_zs_F_C256,2024-09,6,9,6.291198435889349,7.994824600072638,0.5984122971430417
c2,c2_zs_F_C256,2024-09,12,9,6.073845901489258,7.742003217764833,0.6214102563731541
c2,c2_zs_F_C256,2024-09,24,9,7.546196675477205,9.7793234645927,0.36446026412742283
c2,c2_zs_F_C256,2024-09,48,9,8.120168762736851,10.337667466042276,0.20515335258459033
ttm,ttm_zs_U,2024-09,6,9,6.249052737200702,9.223709721615702,0.4654679143277958
ttm,ttm_zs_U,2024-09,12,9,6.784290202458699,9.61927485668985,0.4155507336240164
ttm,ttm_zs_U,2024-09,24,9,8.422828408347236,10.995799332262447,0.19651328986896954
ttm,ttm_zs_U,2024-09,48,9,9.731575312261228,12.133778387006846,-0.09504091917158064
ttm,ttm_ft5_F,2024-09,6,9,7.185287267190438,9.999067338416685,0.3718237513437803
ttm,ttm_ft5_F,2024-09,12,9,7.361587200164795,10.217787646048972,0.3405590772536663
ttm,ttm_ft5_F,2024-09,24,9,9.279321394849708,11.946080601143615,0.051634016846955344
ttm,ttm_ft5_F,2024-09,48,9,10.958567134892498,13.591092537076033,-0.37387420517990066
xgb,xgb_E1,2024-10,6,5,1.71393179321289,2.307824228367725,-0.04545828958409448
xgb,xgb_E1,2024-10,12,5,2.328527468363444,3.1616170064066567,-0.2565582549680552
xgb,xgb_E1,2024-10,24,5,2.3170502770741783,3.100039715356441,-0.053872455853795964
