modelo,config,H,n_ventanas,MAE,RMSE,MAPE,R2
chronos2,c2_zs_F_C512_sesgo,12,36,4.849391864876687,6.123535157520513,23.077715104786996,0.019026252397422505
chronos2,c2_zs_F_C512_sesgo,24,36,4.730769027243426,6.099202728903567,21.78153731482947,-0.09878027374182263
chronos2,c2_zs_F_C512_sesgo,48,36,4.827314219334979,6.266241825290975,22.110539606172214,-0.1116442837626006
ttm,ttm_ft5_F_sesgo,6,36,4.154177054723944,5.300275237993057,20.416991649041016,0.08801155184218135
ttm,ttm_ft5_F_sesgo,12,36,4.33817032010467,5.558329669373988,20.572886978426627,0.19175773499277482
ttm,ttm_ft5_F_sesgo,24,36,4.270105286888135,5.529932888185136,19.66123886519839,0.096757347378009
ttm,ttm_ft5_F_sesgo,48,36,4.566279841543716,5.773772958049126,20.71969300384648,0.0562196273963641
ensemble,ens_ctx_U,6,36,3.6162532999906594,4.678582602541934,17.70426914769743,0.28940672167149994
ensemble,ens_ctx_U,12,36,3.887993835313821,5.031624204514375,18.258956170604133,0.3376777436561258
ensemble,ens_ctx_U,24,36,3.9627285264598004,5.00226415488613,18.153902629650286,0.2609089218911531
ensemble,ens_ctx_U,48,36,4.3779818290324855,5.357323076285604,19.903699452542682,0.18745539318689786
ensemble,ens_ctx_F,6,36,3.5357369693540814,4.562434603243021,17.231854037097662,0.3242504006715192
ensemble,ens_ctx_F,12,36,3.753017083538903,4.868146728026838,17.59243579192972,0.38001629798269076
ensemble,ens_ctx_F,24,36,3.7936011256406337,4.80992559011772,17.334765984498997,0.3166527801876958
ensemble,ens_ctx_F,48,36,3.9838472410043084,5.0305001220993,18.16956959434948,0.28356983267553126
ensemble,ens_par_simple,6,36,3.394027358968422,4.412627134418512,16.72738440461959,0.36789830561347947
ensemble,ens_par_simple,12,36,3.6563963272836473,4.791855027140522,17.354037210072505,0.39929631693932144
ensemble,ens_par_simple,24,36,3.7854877984744526,4.820475827248102,17.42433387394452,0.31365174334530743
ensemble,ens_par_simple,48,36,4.116029397657624,5.146427853543055,18.917441825849206,0.2501691321673347
ensemble,ens_par_simple_sesgo,6,36,4.1785925455499155,5.487118257132071,20.777821842119224,0.022580200590598176
ensemble,ens_par_simple_sesgo,12,36,4.463341694816394,5.775797978405144,21.408603339556418,0.12727595301186534
ensemble,ens_par_simple_sesgo,24,36,4.501459207551346,5.862849133820042,20.760664712597592,-0.015271403235574299
ensemble,ens_par_simple_sesgo,48,36,4.760565830594228,6.128438625450154,21.835319409375824,-0.06328875085908803
ensemble,ens_par_pond,6,36,3.394739828202,4.413440324406497,16.72556050966737,0.36766530784724993
ensemble,ens_par_pond,12,36,3.654761018540098,4.786367704325547,17.334043664825867,0.40067130331820144
ensemble,ens_par_pond,24,36,3.7821834638933103,4.813955031734143,17.40167362460339,0.31550737324579403
ensemble,ens_par_pond,48,36,4.109094647965614,5.138326602525135,18.877665230561615,0.2525279671155384
ensemble,ens_par_pond_sesgo,6,36,4.175115046593622,5.4858020628330815,20.763800926209733,0.023049051457012415
ensemble,ens_par_pond_sesgo,12,36,4.461192168160234,5.771007499776118,21.393554059928277,0.12872303690802545
ensemble,ens_par_pond_sesgo,24,36,4.495926137344438,5.855364025818433,20.734365157473913,-0.012680661144816474
ensemble,ens_par_pond_sesgo,48,36,4.750690025434777,6.1184286221195,21.787964036711468,-0.059818101258090284
ensemble,ens_trio_simple,6,36,3.4580925856528038,4.441110799751837,16.923817650204644,0.3597114896194177
ensemble,ens_trio_simple,12,36,3.7116217487241014,4.8194756787140305,17.484025659489912,0.39235134662139926
ensemble,ens_trio_simple,24,36,3.8097620650721185,4.798170524627309,17.44182716941748,0.31998878837665623
ensemble,ens_trio_simple,48,36,4.159843407876697,5.127311153104842,18.96169505018669,0.2557293652894932
ensemble,ens_trio_simple_sesgo,6,36,4.14979784339824,5.378927958606627,20.562332582082856,0.06074406629725204
ensemble,ens_trio_simple_sesgo,12,36,4.404451707483809,5.659412441274938,21.047439680830124,0.16209333639006385
ensemble,ens_trio_simple_sesgo,24,36,4.393240141171977,5.703189655973074,20.271761550916526,0.039272230204617675
ensemble,ens_trio_simple_sesgo,48,36,4.6515621281068755,5.947653868633543,21.2969325955582,-0.0014814501590132423
ensemble,ens_trio_pond,6,36,3.4606900198283093,4.442740568564602,16.929692519248388,0.3592414658957056
ensemble,ens_trio_pond,12,36,3.712242104381061,4.817288751218667,17.47594399478741,0.39290268545294205
ensemble,ens_trio_pond,24,36,3.808528399939839,4.7939058980787035,17.428428469122586,0.3211970426854528
ensemble,ens_trio_pond,48,36,4.157582984587656,5.12272038778858,18.940295378213534,0.2570615419806863
ensemble,ens_trio_pond_sesgo,6,36,4.147466039201598,5.376988945862049,20.552815438930313,0.06142111606578737
ensemble,ens_trio_pond_sesgo,12,36,4.402201026155332,5.6547837122695945,21.033976527538005,0.16346339268633814
ensemble,ens_trio_pond_sesgo,24,36,4.38721123278215,5.694802784699689,20.244916853121445,0.04209576444037488
ensemble,ens_trio_pond_sesgo,48,36,4.642924535100953,5.936282254019682,21.25401374626481,0.002344453050369455
